"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"
"CHEMBL23304"	""	"None"	"505.59"	"1"	"5.70"	"2c-10"	"CC(C)c1nc2sc3c(c2c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])CCCC3.[Na+]"	"Relative potency"	"'='"	"19.0"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL690065"	"In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134061"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"CHEMBL3307718"	""	""
"CHEMBL150189"	""	"None"	"410.64"	"1"	"8.29"	"4m"	"CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2c(cc(C)c(O)c2C)O1"	"Inhibition"	"'='"	"40.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL692729"	"In vitro suppression of HMG-CoA reductase (HMGR) in Hep G2 cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1127811"	"1"	"Scientific Literature"	"J Med Chem"	"1994"	"CHEMBL3307718"	""	""
"CHEMBL101600"	""	"None"	"499.62"	"0"	"4.44"	"11w"	"CCC(C)(C)C(=O)NC(c1cc(C)cc(C)c1OCC(O)C[C@@H](O)CC(=O)[O-])C1CCCCC1.[Na+]"	"Relative potency"	"'<'"	"1.0"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL692248"	"Inhibition of HMG-CoA reductase compared to mevinolin."	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1125911"	"1"	"Scientific Literature"	"J Med Chem"	"1991"	"None"	""	""
"CHEMBL391002"	""	"None"	"586.70"	"2"	"6.33"	"page 4537"	"CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)N(C)Cc1ccccc1"	"IC50"	"'='"	"3.0"	"nM"	"8.52"	""	""	"UO_0000065"	"14.53"	"0.27"	"2.19"	"8.27"	"0"	"CHEMBL888891"	"Inhibition of HMGCoA reductase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145435"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""
"CHEMBL438662"	""	"None"	"578.62"	"2"	"5.85"	"28"	"CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3ccccc3)c(=O)c21.[Na+]"	"IC50"	"'='"	"16.7"	"nM"	"7.78"	""	""	"UO_0000065"	"13.97"	"0.26"	"1.93"	"7.43"	"0"	"CHEMBL888891"	"Inhibition of HMGCoA reductase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145435"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""
"CHEMBL23119"	""	"None"	"505.57"	"1"	"5.02"	"2a-3"	"Cc1nn(C(C)(C)C)c2nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c3ccc(F)cc3)c12.[Na+]"	"Relative potency"	"'='"	"31.0"	""	""	""	""	""	""	""	""	""	"0"	"CHEMBL690065"	"In vitro HMG-CoA reductase inhibitory activity required to inhibit cellular steroidgenesis in Hep G2 cells (human hepatoma cell line) with pravastatin as reference compound"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HepG2"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134061"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"CHEMBL3307718"	""	""
"CHEMBL1201139"	"MEGESTROL ACETATE"	"4.0"	"384.52"	"0"	"4.58"	"MEGESTROL ACETATE"	"CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C"	"IC50"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL723"	"CARVEDILOL"	"4.0"	"406.48"	"0"	"3.74"	"CARVEDILOL"	"COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12"	"IC50"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL788"	"IDOXURIDINE"	"4.0"	"354.10"	"0"	"-1.22"	"IDOXURIDINE"	"O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I"	"IC50"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
"CHEMBL107"	"COLCHICINE"	"4.0"	"399.44"	"0"	"2.87"	"SID17389095"	"COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2"	"Ki"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909158"	"DRUGMATRIX: HMG-CoA Reductase enzyme inhibition (substrate: [14C]HMG-CoA)"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL402"	"HMG-CoA reductase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""	""
